Nombre\|Apellido\|CUI\|Username\|Correo
Walner\|Cisneros\|216-20-3028\|walner.cisneros\|walner.cisneros@diegos.co
Christopher\|García\|160-88-9870\|christopher.garcía\|christopher.garcía@diegos.co
Edy\|Lopez\|281-62-9345\|edy.lopez\|edy.lopez@diegos.co
Hairo\|Franco\|871-88-7047\|hairo.franco\|hairo.franco@diegos.co
Lizz\|Castellanos\|541-26-8993\|lizz.castellanos\|lizz.castellanos@diegos.co
Cristina\|sosof\|896-13-3429\|cristina.sosof\|cristina.sosof@diegos.co
Carlos\|Franco\|831-83-7312\|carlos.franco\|carlos.franco@diegos.co
Jemima\|Chavajay\|567-29-2958\|jemima.chavajay\|jemima.chavajay@diegos.co
Mauricio\|Ruano\|268-94-4888\|mauricio.ruano\|mauricio.ruano@diegos.co
Josue\|Zacarias\|164-35-1140\|josue.zacarias\|josue.zacarias@diegos.co
Mathus\|Tumax\|871-51-2152\|mathus.tumax\|mathus.tumax@diegos.co
Eduardo\|Mutzus\|109-40-6386\|eduardo.mutzus\|eduardo.mutzus@diegos.co
Victor\|Manuel\|697-39-2040\|victor.manuel\|victor.manuel@diegos.co
Helmouts\|Gomez\|187-80-2035\|helmouts.gomez\|helmouts.gomez@diegos.co
Sebastián\|Elgueta\|265-22-0312\|sebastián.elgueta\|sebastián.elgueta@diegos.co
Jimmy\|Gomez\|274-42-9726\|jimmy.gomez\|jimmy.gomez@diegos.co
Carlos\|Vides\|178-48-3590\|carlos.vides\|carlos.vides@diegos.co
Diego\|Cortez\|182-74-4562\|diego.cortez\|diego.cortez@digos.co
